,full_address,lat,lon
240,107 Teck Whye Lane,1.3779357,103.7536722
241,107 Towner Rd,1.3198248,103.8599865
242,107 Woodlands St 13,1.437327,103.7822802
243,107 Yishun Ring Rd,1.4327912,103.827649
244,107A Edgefield Plains,1.3973701,103.9069138
245,107B Edgefield Plains,1.3968255,103.9072085
246,107C Edgefield Plains,1.3968849,103.9071942
247,107D Edgefield Plains,1.3963545,103.9078834
248,108 Aljunied Cres,1.319098,103.8852646
249,108 Ang Mo Kio Ave 4,1.3709152,103.8382463
250,108 Bedok Nth Rd,1.3327098,103.9361971
251,108 Bedok Reservoir Rd,1.3302301,103.9093692
252,108 Bishan St 12,1.3469108,103.8473951
253,108 Bt Batok West Ave 6,1.347426,103.7466144
254,108 Bt Purmei Rd,1.2734415,103.8254768
255,108 C'Wealth Cres,1.3076609,103.7991219
256,108 Gangsa Rd,1.3776359,103.7672512
257,108 Hougang Ave 1,1.3528142,103.889886
258,108 Jln Bt Merah,1.2792074,103.8256648
259,108 Jln Rajah,1.3281968,103.8555479
260,108 Jurong East St 13,1.3382997,103.737085
261,108 Lengkong Tiga,1.324812,103.9100036
262,108 Lor 1 Toa Payoh,1.3415664,103.8473045
263,108 Mcnair Rd,1.3219533,103.8596246
264,108 Pasir Ris St 12,1.3674286,103.9572281
265,108 Potong Pasir Ave 1,1.3350245,103.8678461
266,108 Rivervale Walk,1.3828062,103.8998636
267,108 Serangoon Nth Ave 1,1.3698399,103.8709533
268,108 Simei St 1,1.3429963,103.9510862
269,108 Tampines St 11,1.3478594,103.9486159
270,108 Teck Whye Lane,1.3783065,103.752948
271,108 Woodlands St 13,1.4371846,103.7815558
272,108 Yishun Ring Rd,1.432342,103.8290981
273,108B Mcnair Rd,1.32016,103.8590612
274,108C Mcnair Rd,1.3199055,103.8594434
275,109 Aljunied Cres,1.3194688,103.8844492
276,109 Ang Mo Kio Ave 4,1.3701494,103.8376575
277,109 Bedok Nth Rd,1.3320701,103.9348777
278,109 Bedok Reservoir Rd,1.3298069,103.9097997
279,109 Bishan St 12,1.3467612,103.8479386
280,109 Bt Batok West Ave 6,1.3469891,103.7461618
281,109 Bt Purmei Rd,1.2739482,103.8252941
282,109 C'Wealth Cres,1.3073026,103.7991998
283,109 Clementi St 11,1.3222301,103.7705903
284,109 Gangsa Rd,1.3774315,103.7677264
285,109 Hougang Ave 1,1.3552337,103.8893423
286,109 Jln Bt Merah,1.2794991,103.8260265
287,109 Jurong East St 13,1.3383251,103.7358405
288,109 Lengkong Tiga,1.3246615,103.9107286
289,109 Lor 1 Toa Payoh,1.3412056,103.8463986
290,109 Mcnair Rd,1.3217182,103.8591489
291,109 Pasir Ris St 11,1.3683881,103.9559589
292,109 Potong Pasir Ave 1,1.334789,103.8674998
293,109 Rivervale Walk,1.3831898,103.8996388
294,109 Serangoon Nth Ave 1,1.3693516,103.8704735
295,109 Simei St 1,1.3422697,103.9501796
296,109 Spottiswoode Pk Rd,1.2741055,103.8366159
297,109 Tampines St 11,1.3474197,103.9487065
298,109 Teck Whye Lane,1.3786778,103.7521333
299,109 Whampoa Rd,1.3271195,103.8557037
300,109 Woodlands St 13,1.4374082,103.7810126
301,109 Yishun Ring Rd,1.432807,103.828475
302,109A Depot Rd,1.2809776,103.8095416
303,109A Edgedale Plains,1.3945432,103.9099812
304,109B Depot Rd,1.2810522,103.8092699
305,109B Edgedale Plains,1.395414,103.909921
306,109C Edgedale Plains,1.395182,103.909279
307,109D Edgedale Plains,1.39551,103.908885
308,10A Boon Tiong Rd,1.2863928,103.8299909
309,10B Bedok Sth Ave 2,1.3224673,103.9361971
310,10B Boon Tiong Rd,1.286319,103.8291434
311,10B Lor 7 Toa Payoh,1.3372225,103.8583157
312,10D Bedok Sth Ave 2,1.3217402,103.9363754
313,10E Bedok Sth Ave 2,1.32166,103.9371924
314,10F Bedok Sth Ave 2,1.3221701,103.9370129
315,11 Cantonment Cl,1.2743997,103.8396276
316,11 Chai Chee Rd,1.3269222,103.9247765
317,11 Eunos Cres,1.3218511,103.9043813
318,11 Farrer Pk Rd,1.3124843,103.8521055
319,11 Haig Rd,1.3147085,103.8966568
320,11 Holland Dr,1.3090796,103.794051
321,11 Jln Batu,1.3016333,103.8826371
322,11 Jln Bt Merah,1.2869066,103.8088114
323,11 Joo Seng Rd,1.3350731,103.880717
324,11 Lor 8 Toa Payoh,1.337092,103.859005
325,11 Marsiling Dr,1.4402735,103.7780106
326,11 Pine Cl,1.3082125,103.8826354
327,11 St. George'S Rd,1.323119,103.8632723
328,11 Teck Whye Lane,1.3797615,103.754849
329,11 Toh Yi Dr,1.3380482,103.7726837
330,11 Upp Boon Keng Rd,1.3142619,103.8708812
331,110 Aljunied Cres,1.3199444,103.8844051
332,110 Ang Mo Kio Ave 4,1.3705542,103.8373405
333,110 Bedok Nth Rd,1.332489,103.9346499
334,110 Bedok Reservoir Rd,1.3301512,103.9103661
335,110 Bishan St 12,1.347495,103.8476668
336,110 Bt Batok West Ave 6,1.3475772,103.7457999
337,110 Bt Purmei Rd,1.2738047,103.8270224
338,110 C'Wealth Cres,1.3068586,103.7986691
339,110 Clementi St 13,1.3228212,103.771144
340,110 Gangsa Rd,1.3780714,103.7679754
341,110 Hougang Ave 1,1.3547196,103.8896142
342,110 Jurong East St 13,1.3391271,103.7364741
343,110 Lengkong Tiga,1.3241497,103.9111765
344,110 Lor 1 Toa Payoh,1.3414985,103.8463986
345,110 Mcnair Rd,1.3221038,103.8588998
346,110 Pasir Ris St 11,1.3687521,103.9563215
347,110 Rivervale Walk,1.3838059,103.8999572
348,110 Serangoon Nth Ave 1,1.369323,103.871251
349,110 Simei St 1,1.3427451,103.950225
350,110 Spottiswoode Pk Rd,1.273668,103.8364347
351,110 Tampines St 11,1.3469774,103.9492505
352,110 Teck Whye Lane,1.378239,103.7519523
353,110 Whampoa Rd,1.3268505,103.8560239
354,110 Woodlands St 13,1.4376251,103.7815558
355,110 Yishun Ring Rd,1.4336617,103.8292793
356,110A Punggol Field,1.396123,103.909388
357,110B Punggol Field,1.395862,103.909761
358,110C Punggol Field,1.395536,103.910105
359,110D Punggol Field,1.3952587,103.9104179
360,111 Aljunied Cres,1.3204205,103.884273
361,111 Ang Mo Kio Ave 4,1.3709211,103.8372499
362,111 Bedok Nth Rd,1.3314701,103.935472
363,111 Bedok Reservoir Rd,1.3299151,103.9100716
364,111 Bishan St 12,1.347053,103.8481197
365,111 Bt Batok West Ave 6,1.3483819,103.745981
366,111 Bt Purmei Rd,1.274388,103.8272941
367,111 C'Wealth Cres,1.3063499,103.7983689
368,111 Clementi St 13,1.323217,103.770966
369,111 Edgefield Plains,1.396765,103.906848
370,111 Gangsa Rd,1.3781971,103.7684054
371,111 Ho Ching Rd,1.3339298,103.7233499
372,111 Hougang Ave 1,1.3548724,103.8885268
373,111 Jurong East St 13,1.3387661,103.735569
374,111 Lengkong Tiga,1.3241496,103.9111766
375,111 Lor 1 Toa Payoh,1.3412293,103.8454701
376,111 Lor 3 Geylang,1.3119573,103.8738476
377,111 Mcnair Rd,1.3213757,103.8582657
378,111 Pasir Ris St 11,1.3680406,103.956359
379,111 Rivervale Walk,1.3841891,103.900618
380,111 Serangoon Nth Ave 1,1.3691006,103.8704375
381,111 Simei St 1,1.3423466,103.9495451
382,111 Tampines St 11,1.3469153,103.9473468
383,111 Teck Whye Lane,1.3778715,103.7521333
384,111 Whampoa Rd,1.3265691,103.85621
385,111 Woodlands St 13,1.4379153,103.7820991
386,111 Yishun Ring Rd,1.4332337,103.8285373
387,111A Depot Rd,1.2811278,103.8088168
388,111B Depot Rd,1.2812029,103.8084545
389,112 Aljunied Cres,1.3203815,103.8851348
390,112 Ang Mo Kio Ave 4,1.3713334,103.8356648
391,112 Bedok Nth Rd,1.3310316,103.9353813
392,112 Bedok Reservoir Rd,1.3297122,103.9103661
393,112 Bishan St 12,1.3468279,103.8488528
394,112 Bt Batok West Ave 6,1.3483128,103.7452569
395,112 Bt Purmei Rd,1.2745295,103.8259281
396,112 C'Wealth Cres,1.3066715,103.7981321
397,112 Clementi St 13,1.3231939,103.7699671
398,112 Edgefield Plains,1.3962889,103.907121
399,112 Ho Ching Rd,1.3339277,103.7237119
400,112 Hougang Ave 1,1.3544325,103.8886174
401,112 Jurong East St 13,1.3392767,103.735931
402,112 Lengkong Tiga,1.3234906,103.9112673
403,112 Lor 1 Toa Payoh,1.3415037,103.8454928
404,112 Lor 3 Geylang,1.3121503,103.8738257
405,112 Mcnair Rd,1.3212252,103.8589904
406,112 Pasir Ris St 11,1.3676545,103.9556911
407,112 Pending Rd,1.3785618,103.7687223
408,112 Rivervale Walk,1.3833931,103.9013291
409,112 Serangoon Nth Ave 1,1.3691764,103.8714966
410,112 Simei St 1,1.3429686,103.9495451
411,112 Tampines St 11,1.3462368,103.9475961
412,112 Teck Whye Lane,1.3775065,103.7518617
413,112 Whampoa Rd,1.3261952,103.8568389
414,112 Woodlands St 13,1.4383398,103.7817143
415,112 Yishun Ring Rd,1.434258,103.828858
416,112A Depot Rd,1.281639,103.80804
417,112B Depot Rd,1.281697,103.807681
418,113 Ang Mo Kio Ave 4,1.3718078,103.8359818
419,113 Bedok Nth St 2,1.3303742,103.9352001
420,113 Bedok Reservoir Rd,1.3305887,103.910638
421,113 Bishan St 12,1.3472701,103.8485727
422,113 Bt Batok West Ave 6,1.3488261,103.7451665
423,113 Bt Purmei Rd,1.2748886,103.8271056
424,113 C'Wealth Cres,1.3068443,103.7979674
425,113 Clementi St 13,1.3235584,103.7702387
426,113 Depot Rd,1.2815045,103.8071813
427,113 Hougang Ave 1,1.3535533,103.888708
428,113 Jln Bt Merah,1.2805225,103.8258442
429,113 Jurong East St 13,1.3389167,103.7348449
430,113 Lor 1 Toa Payoh,1.3412893,103.8445869
431,113 Lor 3 Geylang,1.3118815,103.8739642
432,113 Pasir Ris St 11,1.3680973,103.9555963
433,113 Pending Rd,1.3783555,103.7695145
434,113 Potong Pasir Ave 1,1.3362015,103.863436
435,113 Rivervale Walk,1.3843141,103.9015756
436,113 Serangoon Nth Ave 1,1.3687656,103.8704735
437,113 Simei St 1,1.3428567,103.9499077
438,113 Tampines St 11,1.3465551,103.9463496
439,113 Tao Ching Rd,1.3336807,103.724361
440,113 Teck Whye Lane,1.3779522,103.750866
441,113 Whampoa Rd,1.3259365,103.8572918
442,113 Woodlands St 13,1.4379792,103.7812586
443,113 Yishun Ring Rd,1.4344538,103.8286576
444,114 Ang Mo Kio Ave 4,1.372687,103.8359818
445,114 Bedok Nth St 2,1.3305163,103.9359252
446,114 Bedok Reservoir Rd,1.3305197,103.909913
447,114 Bishan St 12,1.3476367,103.8484821
448,114 Bt Batok West Ave 6,1.3488214,103.7459811
449,114 Bt Purmei Rd,1.275194,103.8258403
450,114 Clementi St 13,1.3237749,103.7707819
451,114 Depot Rd,1.281827,103.8068338
452,114 Edgefield Plains,1.3961984,103.9074254
453,114 Ho Ching Rd,1.333422,103.7238896
454,114 Hougang Ave 1,1.3531119,103.8890705
455,114 Jurong East St 13,1.3392112,103.7345734
456,114 Lengkong Tiga,1.3231895,103.9122693
457,114 Lor 1 Toa Payoh,1.3409248,103.8443152
458,114 Lor 3 Geylang,1.3116006,103.8740823
459,114 Marsiling Rise,1.4388012,103.7812842
460,114 Pasir Ris St 11,1.3684667,103.9550523
461,114 Pending Rd,1.3778951,103.7698992
462,114 Potong Pasir Ave 1,1.3367162,103.8632483
463,114 Rivervale Walk,1.3840429,103.9010733
464,114 Serangoon Nth Ave 1,1.3688835,103.8714968
465,114 Simei St 1,1.3437502,103.9504289
466,114 Tampines St 11,1.345967,103.9468029
467,114 Teck Whye Lane,1.3785381,103.7509565
468,114 Whampoa Rd,1.3255322,103.8576089
469,114 Yishun Ring Rd,1.4343372,103.8268338
470,115 Bedok Nth Rd,1.3313891,103.9368316
471,115 Bedok Reservoir Rd,1.3306733,103.9086442
472,115 Bishan St 12,1.3480033,103.8483915
473,115 Bt Batok West Ave 6,1.3491477,103.7465696
474,115 Bt Merah Ctrl,1.2842039,103.8146073
475,115 Bt Purmei Rd,1.2754806,103.8269273
476,115 Clementi St 13,1.3239894,103.7716873
477,115 Edgefield Plains,1.3952069,103.9073329
478,115 Ho Ching Rd,1.3337028,103.7246169
479,115 Hougang Ave 1,1.3527849,103.88785
480,115 Jurong East St 13,1.3397925,103.735388
481,115 Lengkong Tiga,1.3230884,103.9112671
482,115 Lor 1 Toa Payoh,1.3407036,103.8445869
483,115 Marsiling Rise,1.4381433,103.7808315
484,115 Pasir Ris St 11,1.368905,103.9552336
485,115 Pending Rd,1.3780645,103.7691523
486,115 Potong Pasir Ave 1,1.3373096,103.862802
487,115 Rivervale Walk,1.3846832,103.9011225
488,115 Serangoon Nth Ave 1,1.3681605,103.8705868
489,115 Teck Whye Lane,1.3789764,103.7512281
490,115 Whampoa Rd,1.3265575,103.857473
491,115 Yishun Ring Rd,1.4345301,103.8280471
492,115A Yishun Ring Rd,1.4333072,103.8275806
493,115B Yishun Ring Rd,1.433284,103.8270295
494,115C Yishun Ring Rd,1.4337908,103.8275862
495,116 Ang Mo Kio Ave 4,1.3734171,103.8364347
496,116 Bedok Nth Rd,1.3309428,103.9381007
497,116 Bedok Reservoir Rd,1.3311124,103.9086442
498,116 Bishan St 12,1.347777,103.8493055
499,116 Bt Batok West Ave 6,1.3496257,103.7462528
500,116 Bt Merah Ctrl,1.2839699,103.8149968
501,116 Bt Merah View,1.2851531,103.821393
502,116 Clementi St 13,1.3244983,103.772321
503,116 Edgefield Plains,1.395244,103.906758
504,116 Hougang Ave 1,1.3531233,103.8877847
505,116 Jurong East St 13,1.3397966,103.7346639
506,116 Lengkong Tiga,1.3228258,103.9119068
507,116 Lor 2 Toa Payoh,1.3404772,103.8457645
508,116 Marsiling Rise,1.4380727,103.7803788
509,116 Pasir Ris St 11,1.3686896,103.9545084
510,116 Pending Rd,1.3771875,103.7686997
511,116 Serangoon Nth Ave 1,1.3685165,103.8715873
512,116 Simei St 1,1.343658,103.9512787
513,116 Teck Whye Lane,1.3793392,103.7518617
514,116 Yishun Ring Rd,1.4350887,103.8279473
515,116A Rivervale Dr,1.3826235,103.9024818
516,116B Rivervale Dr,1.382059,103.902366
517,116C Rivervale Dr,1.382106,103.902968
518,117 Ang Mo Kio Ave 4,1.3736407,103.8358007
519,117 Bedok Nth Rd,1.3306475,103.9385539
520,117 Bedok Reservoir Rd,1.3314046,103.9087348
521,117 Bishan St 12,1.3469693,103.8499396
522,117 Bt Batok West Ave 6,1.3498771,103.7471128
523,117 Bt Merah Ctrl,1.2837249,103.8154498
524,117 Clementi St 13,1.3245029,103.7715062
525,117 Edgefield Plains,1.3953168,103.9064393
526,117 Hougang Ave 1,1.353611,103.8882323
527,117 Lor 1 Toa Payoh,1.340041,103.845221
528,117 Marsiling Rise,1.4382428,103.7801062
529,117 Pasir Ris St 11,1.3678825,103.9547804
530,117 Pending Rd,1.3773202,103.7679528
531,117 Potong Pasir Ave 1,1.3363212,103.8628473
532,117 Serangoon Nth Ave 1,1.3679354,103.8706782
533,117 Simei St 1,1.3446047,103.9513563
534,117 Teck Whye Lane,1.3796362,103.7512281
535,117 Yishun Ring Rd,1.4355227,103.8276383
536,117A Rivervale Dr,1.383171,103.902613
537,117B Rivervale Dr,1.3836845,103.9027084
538,117C Rivervale Dr,1.383378,103.903215
539,118 Ang Mo Kio Ave 4,1.3732764,103.8354384
540,118 Bedok Nth St 2,1.3304343,103.9374662
541,118 Bedok Reservoir Rd,1.3310913,103.90912
542,118 Bishan St 12,1.346648,103.849912
